group	colour	yend	showSelected3
1	#FC8D62	-0.474089673708709	validation
2	#66C2A5	-0.474089673708709	subtrain
3	#66C2A5	-0.474089673708709	subtrain
4	#FC8D62	-0.474089673708709	validation
5	#66C2A5	-0.474089673708709	subtrain
6	#66C2A5	-0.474089673708709	subtrain
7	#FC8D62	-0.474089673708709	validation
8	#FC8D62	-0.474089673708709	validation
9	#66C2A5	-0.474089673708709	subtrain
10	#66C2A5	-0.474089673708709	subtrain
11	#66C2A5	-0.474089673708709	subtrain
12	#66C2A5	-0.474089673708709	subtrain
13	#FC8D62	-0.474089673708709	validation
14	#FC8D62	-0.474089673708709	validation
15	#66C2A5	-0.474089673708709	subtrain
16	#66C2A5	-0.474089673708709	subtrain
17	#66C2A5	-0.474089673708709	subtrain
18	#66C2A5	-0.474089673708709	subtrain
19	#66C2A5	-0.474089673708709	subtrain
20	#66C2A5	-0.474089673708709	subtrain
21	#FC8D62	-0.474089673708709	validation
22	#FC8D62	-0.474089673708709	validation
23	#66C2A5	-0.474089673708709	subtrain
24	#66C2A5	-0.474089673708709	subtrain
25	#FC8D62	-0.474089673708709	validation
26	#FC8D62	-0.474089673708709	validation
27	#FC8D62	-0.474089673708709	validation
28	#FC8D62	-0.474089673708709	validation
29	#FC8D62	-0.474089673708709	validation
30	#FC8D62	-0.474089673708709	validation
31	#FC8D62	-0.474089673708709	validation
32	#FC8D62	-0.474089673708709	validation
33	#FC8D62	-0.474089673708709	validation
34	#66C2A5	-0.474089673708709	subtrain
35	#66C2A5	-0.474089673708709	subtrain
36	#66C2A5	-0.474089673708709	subtrain
37	#66C2A5	-0.474089673708709	subtrain
38	#66C2A5	-0.474089673708709	subtrain
39	#FC8D62	-0.474089673708709	validation
40	#FC8D62	-0.474089673708709	validation
41	#FC8D62	-0.474089673708709	validation
42	#FC8D62	-0.474089673708709	validation
43	#FC8D62	-0.474089673708709	validation
44	#66C2A5	-0.474089673708709	subtrain
45	#FC8D62	-0.474089673708709	validation
46	#FC8D62	-0.474089673708709	validation
47	#FC8D62	-0.474089673708709	validation
48	#FC8D62	-0.474089673708709	validation
49	#FC8D62	-0.474089673708709	validation
50	#FC8D62	-0.474089673708709	validation
51	#FC8D62	-0.474089673708709	validation
52	#FC8D62	-0.474089673708709	validation
53	#66C2A5	-0.474089673708709	subtrain
54	#66C2A5	-0.474089673708709	subtrain
55	#66C2A5	-0.474089673708709	subtrain
56	#FC8D62	-0.474089673708709	validation
57	#66C2A5	-0.474089673708709	subtrain
58	#66C2A5	-0.474089673708709	subtrain
59	#66C2A5	-0.474089673708709	subtrain
60	#FC8D62	-0.474089673708709	validation
61	#66C2A5	1.04742688376332	subtrain
62	#FC8D62	1.04742688376332	validation
63	#66C2A5	1.04742688376332	subtrain
64	#FC8D62	1.04742688376332	validation
65	#FC8D62	1.04742688376332	validation
66	#66C2A5	1.04742688376332	subtrain
67	#66C2A5	1.04742688376332	subtrain
68	#66C2A5	1.04742688376332	subtrain
69	#66C2A5	1.04742688376332	subtrain
70	#66C2A5	1.04742688376332	subtrain
71	#FC8D62	1.04742688376332	validation
72	#FC8D62	1.04742688376332	validation
73	#FC8D62	1.04742688376332	validation
74	#66C2A5	1.04742688376332	subtrain
75	#66C2A5	1.04742688376332	subtrain
76	#FC8D62	1.04742688376332	validation
77	#66C2A5	1.04742688376332	subtrain
78	#66C2A5	1.04742688376332	subtrain
79	#FC8D62	1.04742688376332	validation
80	#66C2A5	1.04742688376332	subtrain
81	#FC8D62	1.04742688376332	validation
82	#FC8D62	1.04742688376332	validation
83	#66C2A5	1.04742688376332	subtrain
84	#FC8D62	1.04742688376332	validation
85	#FC8D62	1.04742688376332	validation
86	#66C2A5	1.04742688376332	subtrain
87	#FC8D62	1.04742688376332	validation
88	#FC8D62	1.04742688376332	validation
89	#66C2A5	1.04742688376332	subtrain
90	#FC8D62	1.04742688376332	validation
91	#66C2A5	1.04742688376332	subtrain
92	#66C2A5	1.04742688376332	subtrain
93	#66C2A5	1.04742688376332	subtrain
94	#FC8D62	1.04742688376332	validation
95	#66C2A5	1.04742688376332	subtrain
96	#66C2A5	1.04742688376332	subtrain
97	#66C2A5	1.04742688376332	subtrain
98	#66C2A5	1.04742688376332	subtrain
99	#FC8D62	1.04742688376332	validation
100	#FC8D62	1.04742688376332	validation
